Component :,Manufacturer :,Model :,Size :,Resolution :,Price (INR)  :,Type :
TV,Samsung,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),32,720p,13990,1
TV,Samsung,Samsung 108 cm (43 inches) Crystal 4K Series Ultra HD Smart LED TV UA43AUE60AKLXL (Black),43,4K,29990,2
TV,Samsung,Samsung 138 cm (55 inches) Crystal 4K Series Ultra HD Smart LED TV UA55AUE60AKLXL (Black),55,4K,45990,3
TV,Sony,Sony Bravia 80 cm (32 inches) HD Ready Smart LED Google TV KD-32W820K (Black) (2022 Model) | with Alexa Compatibility,32,720p,24990,1
TV,Sony,Sony Bravia 108 cm (43 inches) 4K Ultra HD Smart LED Google TV KD-43X74K (Black),43,4K,42990,2
TV,Sony,Sony Bravia 139 cm (55 inches) 4K Ultra HD Smart LED Google TV KD-55X74K (Black),55,4K,57990,3
TV,Oneplus,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),32,720p,14999,1
TV,Oneplus,OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),43,4K,29999,2
TV,Oneplus,OnePlus 138 cm (55 inches) Y Series 4K Ultra HD Smart Android LED TV 55Y1S Pro (Black),55,4K,39999,3
TV,LG,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),32,720p,13999,1
TV,LG,LG 108 cm (43 inches) 4K Ultra HD Smart LED TV 43UQ7500PSF (Ceramic Black),43,4K,30499,2
TV,LG,LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UQ8020PSB (Dark Iron Gray),55,4K,49990,3
TV,Mi,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),32,720p,13999,1
TV,Mi,MI 108 cm (43 inches) 5A Series Full HD Smart Android LED TV L43M7-EAIN (Black),43,1080p,24999,2
TV,Mi,MI 138 cm (55 inches) X Series 4K Ultra HD Smart Android LED TV L55M7-A2IN (Black),55,4K,39999,3
